teff,mbol,age,mass,radius,sptype
2792.544,12.54,8.5,0.097,0.11766609,M
2958.0125,11.97,1.5,0.114,0.1363488,M
2944.4216,12.01,4.0,0.112,0.13509874,M
2897.3435,12.24,8.5,0.104,0.1255022,M
2588.213,13.14,4.0,0.084,0.10390855,M
2864.178,12.01,0.575,0.096,0.14277472,M
2937.6497,12.09,8.5,0.109,0.13081312,M
2837.919,12.4,6.0,0.1,0.121520996,M
2992.2646,11.91,8.5,0.115,0.13697815,M
2779.7134,12.56,4.0,0.097,0.11766609,M
2600.1597,13.09,8.5,0.085,0.10535407,M
2716.4392,12.72,1.5,0.094,0.11445936,M
2930.8933,12.08,6.0,0.11,0.13202353,M
2624.2185,13.0,2.5,0.086,0.10780808,M
2917.427,12.11,1.5,0.109,0.13141693,M
2673.0063,12.86,6.0,0.091,0.11082847,M
2624.2185,13.0,2.5,0.086,0.10780808,M
2958.0125,11.94,0.575,0.112,0.1382456,M
2864.178,12.01,0.575,0.096,0.14277472,M
2716.4392,12.74,6.0,0.093,0.11340999,M
2971.666,11.93,4.0,0.115,0.13761042,M
2897.3435,12.24,8.5,0.104,0.1255022,M
2964.8313,12.01,8.5,0.112,0.13324513,M
2877.3984,12.26,6.0,0.104,0.12608148,M
2760.578,12.6,4.0,0.096,0.11712546,M
2792.544,12.51,2.5,0.098,0.11930299,M
2964.8313,11.87,0.575,0.112,0.14211872,M
2624.2185,13.0,8.5,0.086,0.10780808,M
2910.717,12.18,6.0,0.106,0.12783545,M
2805.4336,12.49,8.5,0.098,0.11930299,M
2511.8865,13.32,6.0,0.083,0.10154331,M
2904.0227,12.17,4.0,0.107,0.1290183,M
2654.6055,12.88,6.0,0.09,0.11134002,M
2851.0183,12.34,1.5,0.102,0.123780236,M
2877.3984,12.26,8.5,0.104,0.12608148,M
2917.427,12.11,2.5,0.109,0.13141693,M
2741.5742,12.65,8.5,0.095,0.11605165,M
2588.213,13.14,8.5,0.084,0.10390855,M
2654.6055,12.87,0.575,0.09,0.11185395,M
2624.2185,13.0,8.5,0.086,0.10780808,M
2636.3313,12.95,6.0,0.087,0.10930784,M
2636.3313,12.95,0.575,0.087,0.10930784,M
2760.578,12.59,1.5,0.096,0.11766609,M
2877.3984,12.26,6.0,0.104,0.12608148,M
2978.5164,11.96,8.5,0.114,0.13509874,M
2685.3445,12.81,4.0,0.092,0.112370245,M
2741.5742,12.64,1.5,0.095,0.11658732,M
2735.2688,12.71,8.5,0.094,0.11340999,M
2612.1614,13.05,0.575,0.085,0.1063289,M
2728.9778,12.69,4.0,0.094,0.11498768,M
2805.4336,12.27,0.575,0.094,0.13202353,M
2999.1626,11.85,8.5,0.118,0.14016879,M
2654.6055,12.87,0.575,0.09,0.11185395,M
2999.1626,11.84,4.0,0.119,0.14081578,M
2897.3435,12.24,8.5,0.104,0.1255022,M
2837.919,12.39,4.0,0.101,0.12208191,M
2944.4216,12.01,1.5,0.113,0.13509874,M
2673.0063,12.86,8.5,0.091,0.11082847,M
2999.1626,11.84,6.0,0.118,0.14081578,M
2741.5742,12.65,8.5,0.095,0.11605165,M
2703.9583,12.79,8.5,0.092,0.11185395,M
2716.4392,12.75,8.5,0.093,0.11288892,M
2648.5002,12.9,4.0,0.087,0.11082847,M
2944.4216,12.01,1.5,0.113,0.13509874,M
2654.6055,12.89,8.5,0.09,0.11082847,M
2897.3435,12.24,8.5,0.104,0.1255022,M
2766.9417,12.63,8.5,0.096,0.11498768,M
